date,chl_a
9/1/2010,3.9713932
10/1/2010,7.68545635
11/1/2010,3.23683075
12/1/2010,6.94709585
1/1/2011,1.17461065
2/1/2011,1.5238688
3/1/2011,1.44816215
4/1/2011,1.10311385
5/1/2011,1.1547974
6/1/2011,1.7820115
7/1/2011,0.990948375
8/1/2011,1.6211183
9/1/2011,6.227245
10/1/2011,3.9175515
11/1/2011,1.2917906
12/1/2011,1.0295119
1/1/2012,1.54872325
2/1/2012,1.80112465
3/1/2012,1.13547915
4/1/2012,1.08593115
5/1/2012,1.0383446
6/1/2012,0.8920523
7/1/2012,0.85956485
8/1/2012,0.8451733
9/1/2012,1.0345993
10/1/2012,1.2245363
11/1/2012,1.4751335
12/1/2012,1.4470272
1/1/2013,1.43722695
2/1/2013,1.10723185
3/1/2013,1.236229
4/1/2013,1.01322365
5/1/2013,0.70100687
6/1/2013,1.2537276
7/1/2013,1.19757545
8/1/2013,0.917158435
9/1/2013,1.46308675
10/1/2013,1.65069275
11/1/2013,1.86123175
12/1/2013,1.19480395
1/1/2014,1.4905223
2/1/2014,1.82780675
3/1/2014,1.46121645
4/1/2014,1.36559435
5/1/2014,0.99286357
6/1/2014,0.9301475
7/1/2014,1.09914225
8/1/2014,0.84300652
9/1/2014,1.16942705
10/1/2014,1.40186175
11/1/2014,1.6103414
12/1/2014,1.55669875
1/1/2015,3.61367235
2/1/2015,1.7641436
3/1/2015,1.29938545
4/1/2015,1.2221986
5/1/2015,1.4108445
6/1/2015,3.507398
7/1/2015,1.54009775
8/1/2015,1.7180358
9/1/2015,2.0215151
10/1/2015,3.57987775
11/1/2015,1.3878282
12/1/2015,1.90104895
1/1/2016,1.5526352
2/1/2016,1.5395542
3/1/2016,1.017026
4/1/2016,1.2191638
5/1/2016,1.171826
6/1/2016,1.15721705
7/1/2016,1.60656435
8/1/2016,1.5962911
9/1/2016,2.00933885
10/1/2016,2.5174304
11/1/2016,1.2586709
12/1/2016,2.069415
1/1/2017,1.6045161
2/1/2017,1.2502817
3/1/2017,1.0585179
4/1/2017,1.1681429
5/1/2017,1.83761595
6/1/2017,1.02634985
7/1/2017,3.1351007
8/1/2017,2.2732965
9/1/2017,2.14390725
10/1/2017,2.2482843
11/1/2017,1.928589
12/1/2017,1.99700875
1/1/2018,2.7274468
2/1/2018,1.36243585
3/1/2018,1.3728858
4/1/2018,1.0785424
5/1/2018,1.20341145
6/1/2018,1.46453405
7/1/2018,2.13255205
8/1/2018,2.7709042
9/1/2018,2.51017305
10/1/2018,2.04829555
11/1/2018,1.9895926
12/1/2018,1.4083855
1/1/2019,3.46626165
2/1/2019,1.0570667
3/1/2019,1.52149245
4/1/2019,1.468341
5/1/2019,1.20178595
6/1/2019,1.15825615
7/1/2019,1.19282905
8/1/2019,1.10887335
9/1/2019,1.18182955
10/1/2019,1.24808345
11/1/2019,1.47232395
12/1/2019,1.6258936
1/1/2020,0.99790185
2/1/2020,1.18691
3/1/2020,1.3124219
4/1/2020,1.08571735
5/1/2020,1.04024325
6/1/2020,1.07940115
7/1/2020,1.09565835
8/1/2020,1.0625578
9/1/2020,0.9537399
10/1/2020,1.113315
11/1/2020,8.9286304
12/1/2020,1.09427435
1/1/2021,1.31768705
2/1/2021,1.3273581
3/1/2021,1.6785597
4/1/2021,1.8808148
5/1/2021,2.47830305
6/1/2021,2.7340331
7/1/2021,5.6407225
8/1/2021,1.81626935
9/1/2021,1.31930115
10/1/2021,1.008283
11/1/2021,1.48439235
12/1/2021,3.45864365
1/1/2022,1.76372575
2/1/2022,1.5279749
3/1/2022,1.7030149
4/1/2022,1.8305689
5/1/2022,1.28308175
6/1/2022,0.9874996
7/1/2022,1.5276435
8/1/2022,0.88128717
9/1/2022,0.93779505
10/1/2022,1.18641305
11/1/2022,1.20360795
12/1/2022,0.78146638
1/1/2023,1.10593085
2/1/2023,1.1018001
3/1/2023,1.10040815
4/1/2023,0.931963
5/1/2023,1.01957305
6/1/2023,0.99065413
7/1/2023,0.91473107
8/1/2023,0.84656275
9/1/2023,1.0784593
10/1/2023,1.3043423
11/1/2023,2.0386008
12/1/2023,1.40881745
1/1/2024,3.6731833
2/1/2024,0.86498681
3/1/2024,1.0082346
4/1/2024,1.30429925
5/1/2024,0.9587571
6/1/2024,0.883719
7/1/2024,0.913016855
8/1/2024,0.94090228
